"word","mapped","confidence","library","target","matched_term","source_kind","source_file"
"painted","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","paint company","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"painted","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","painter","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"painted","yes","stem-prefix-candidate","compliance-business-type-synonym","painting","painter","synonym-key","market-validation-api/src/domain/market-research/fetchers/complianceOs.ts"
"painted","yes","stem-prefix-candidate","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","painting","regex-term","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"painter","yes","exact","setup-classifier","Painting Contractor","painter","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"painter","yes","exact","compliance-business-type-synonym","painting","painter","synonym-key","market-validation-api/src/domain/market-research/fetchers/complianceOs.ts"
"painter","yes","phrase-token","setup-classifier","Painting Contractor","painter","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"painter","yes","phrase-token","compliance-business-type-synonym","painting","painter","synonym-key","market-validation-api/src/domain/market-research/fetchers/complianceOs.ts"
"painterly","yes","stem-prefix-candidate","setup-classifier","Collision / Auto Body Repair","auto paint","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"painterly","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","paint company","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"painterly","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","painter","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"painterly","yes","stem-prefix-candidate","compliance-business-type-synonym","painting","painter","synonym-key","market-validation-api/src/domain/market-research/fetchers/complianceOs.ts"
"painters","yes","stem-prefix-candidate","setup-classifier","Collision / Auto Body Repair","auto paint","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"painters","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","paint company","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"painters","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","painter","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"painters","yes","stem-prefix-candidate","compliance-business-type-synonym","painting","painter","synonym-key","market-validation-api/src/domain/market-research/fetchers/complianceOs.ts"
"paintier","yes","stem-prefix-candidate","setup-classifier","Collision / Auto Body Repair","auto paint","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintier","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","paint company","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintier","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","painter","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintier","yes","stem-prefix-candidate","compliance-business-type-synonym","painting","painter","synonym-key","market-validation-api/src/domain/market-research/fetchers/complianceOs.ts"
"paintier","yes","stem-prefix-candidate","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","painting","regex-term","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"paintiest","yes","stem-prefix-candidate","setup-classifier","Collision / Auto Body Repair","auto paint","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintiest","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","paint company","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintiest","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","painter","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintiest","yes","stem-prefix-candidate","compliance-business-type-synonym","painting","painter","synonym-key","market-validation-api/src/domain/market-research/fetchers/complianceOs.ts"
"paintiest","yes","stem-prefix-candidate","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","painting","regex-term","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"paintiness","yes","stem-prefix-candidate","setup-classifier","Collision / Auto Body Repair","auto paint","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintiness","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","paint company","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintiness","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","painter","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintiness","yes","stem-prefix-candidate","compliance-business-type-synonym","painting","painter","synonym-key","market-validation-api/src/domain/market-research/fetchers/complianceOs.ts"
"paintiness","yes","stem-prefix-candidate","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","painting","regex-term","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"painting","yes","exact","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","painting","regex-term","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"painting","yes","phrase-token","setup-classifier","Painting Contractor","painting contractor","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"painting","yes","phrase-token","setup-classifier","Painting Contractor","house painting","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"painting","yes","phrase-token","setup-classifier","Painting Contractor","interior painting","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"painting","yes","phrase-token","setup-classifier","Painting Contractor","exterior painting","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"painting","yes","phrase-token","setup-classifier","Painting Contractor","commercial painting","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"painting","yes","phrase-token","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","painting","regex-term","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"paintings","yes","stem-prefix-candidate","setup-classifier","Collision / Auto Body Repair","auto paint","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintings","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","painting contractor","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintings","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","house painting","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintings","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","interior painting","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintings","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","exterior painting","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintings","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","commercial painting","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintings","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","paint company","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintings","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","painter","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintress","yes","stem-prefix-candidate","setup-classifier","Collision / Auto Body Repair","auto paint","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintress","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","paint company","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintress","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","painter","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintress","yes","stem-prefix-candidate","compliance-business-type-synonym","painting","painter","synonym-key","market-validation-api/src/domain/market-research/fetchers/complianceOs.ts"
"paintress","yes","stem-prefix-candidate","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","painting","regex-term","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"paints","yes","stem-prefix-candidate","setup-classifier","Collision / Auto Body Repair","auto paint","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paints","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","paint company","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paints","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","painter","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paints","yes","stem-prefix-candidate","compliance-business-type-synonym","painting","painter","synonym-key","market-validation-api/src/domain/market-research/fetchers/complianceOs.ts"
"paints","yes","stem-prefix-candidate","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","painting","regex-term","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"painture","yes","stem-prefix-candidate","setup-classifier","Collision / Auto Body Repair","auto paint","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"painture","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","paint company","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"painture","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","painter","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"painture","yes","stem-prefix-candidate","compliance-business-type-synonym","painting","painter","synonym-key","market-validation-api/src/domain/market-research/fetchers/complianceOs.ts"
"painture","yes","stem-prefix-candidate","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","painting","regex-term","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"paintures","yes","stem-prefix-candidate","setup-classifier","Collision / Auto Body Repair","auto paint","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintures","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","paint company","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintures","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","painter","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintures","yes","stem-prefix-candidate","compliance-business-type-synonym","painting","painter","synonym-key","market-validation-api/src/domain/market-research/fetchers/complianceOs.ts"
"paintures","yes","stem-prefix-candidate","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","painting","regex-term","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"paintwork","yes","stem-prefix-candidate","setup-classifier","Collision / Auto Body Repair","auto paint","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintwork","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","paint company","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintwork","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","painter","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintwork","yes","stem-prefix-candidate","compliance-business-type-synonym","painting","painter","synonym-key","market-validation-api/src/domain/market-research/fetchers/complianceOs.ts"
"paintwork","yes","stem-prefix-candidate","market-regex-housing_construction_relevant_pattern","HOUSING_CONSTRUCTION_RELEVANT_PATTERN","painting","regex-term","market-validation-api/src/domain/market-research/fetchers/expansionSignals.ts"
"paintworks","yes","stem-prefix-candidate","setup-classifier","Collision / Auto Body Repair","auto paint","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintworks","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","paint company","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"paintworks","yes","stem-prefix-candidate","setup-classifier","Painting Contractor","painter","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
